sample,ASP,SER,GLU,GLY,HIS,P2 ,ARG,THR,ALA,PRO,TYR,VAL,MET,P1 ,LYS,ILE,LEU,NLEU,PHE
sample_24,0.103606939,0.034092905,0.171525765,0.077768789,0.025785093,0.021805667,0.089742485,0.04092951,0.058953913,0.043300392,0.017321253,0.056299347,0.00840297,0,0.071994149,0.042076768,0.065640019,0.031584039,0.038048735
sample_25,0.096109555,0.032870973,0.168614058,0.076152089,0.02465129,0.031289517,0.079374097,0.041114779,0.057499474,0.04103362,0.017786123,0.060990681,0.017010119,0,0.064269682,0.044383622,0.070723787,0.032551213,0.041206906
sample_26,0.094451022,0.010612097,0.157491098,0.122265769,0.02809667,0.017930679,0.085164293,0.02668468,0.056100477,0.046611579,0.01579295,0.061667896,0.012087055,0,0.067407281,0.047794709,0.072980479,0.03118631,0.043890655
sample_27,0.111493179,0.012417827,0.176040061,0.124417882,0.031517915,0.027154533,0.086569979,0.028539177,0.055267592,0.040603239,0.014104462,0.052119798,0.010473563,0,0.063404799,0.040527417,0.059533382,0.02886147,0.035307808
sample_28,0.108121853,0.012897303,0.188307655,0.103294028,0.02456345,0.027532944,0.082419258,0.028139345,0.056522941,0.041904125,0.013754656,0.056882326,0.014653337,0,0.066376154,0.040125102,0.064612593,0.030536569,0.035619241
sample_29,0.095343285,0.011679855,0.191399377,0.098414489,0.026177979,0.038187492,0.080545365,0.026641849,0.051032631,0.04386049,0.015127486,0.055270319,0.018434235,0,0.063877279,0.040924288,0.066622525,0.035350766,0.039529362
sample_30,0.11992572,0.033554933,0.188353492,0.070513055,0.026750398,0.014061821,0.07191663,0.043825754,0.061854281,0.04561198,0.015595669,0.052745004,0.009391161,0,0.057011546,0.05149146,0.05853692,0.043381558,0.035188496
sample_31,0.11952883,0.019014405,0.225408298,0.087310398,0.027869902,0.029648008,0.085022362,0.031037542,0.04915442,0.037236097,0.013598348,0.048618183,0.014369427,0,0.062664623,0.036404852,0.056027814,0.024637596,0.031433169
sample_32,0.098449949,0.017979688,0.147771799,0.07324409,0.023944064,0,0.085179186,0.035700305,0.076795739,0.082527503,0.012618905,0.068398615,0.006202247,0.013705542,0.049127308,0.046398995,0.075675733,0.048398496,0.037874401
sample_33,0.080058647,0.012208153,0.263961253,0.051029925,0.01780525,0.054808149,0.052913701,0.024541421,0.04453672,0.028006827,0.01934167,0.048935097,0.058244349,0,0.064116379,0.035202715,0.056346802,0.054971968,0.032970973
sample_34,0.060798157,0.009355119,0.413614106,0.043467154,0.014567141,0.032601517,0.069805499,0.019975221,0.033183639,0.025447267,0.015677125,0.03547182,0.029061636,0,0.054548332,0.026040267,0.03906464,0.053495733,0.023825628
sample_35,0.091853312,0.027356873,0.173975206,0.050863736,0.021900803,0,0.038921279,0.039232218,0.087216251,0.046086161,0.026273154,0.062365031,0.061343112,0,0.068993915,0.053616733,0.07041498,0.029699668,0.04224207
sample_36,0.09038786,0.025500664,0.165930878,0.044834853,0.019133994,0,0.032170653,0.04095502,0.123328605,0.036314418,0.025949204,0.0668526,0.038502661,0,0.071146424,0.057766943,0.073576804,0.043518763,0.044129656
sample_37,0.09607954,0.02665727,0.172145387,0.046020192,0.021968909,0,0.032991954,0.034336204,0.102755885,0.038295912,0.033818902,0.061629361,0.035539011,0,0.072183747,0.05621222,0.089190776,0.038676867,0.041497859
sample_38,0.094282595,0.027641882,0.157530461,0.046312367,0.023525054,0,0.036291055,0.04245997,0.09992929,0.034854568,0.027827668,0.069322861,0.044445938,0,0.077973268,0.060980397,0.078642529,0.033581598,0.0443985
sample_39,0.101811039,0.035290148,0.129802891,0.064998473,0.025372819,0,0.04488212,0.05518856,0.094449577,0.043175814,0.021472114,0.080627839,0.03736925,0.020198313,0.053361732,0.04698023,0.084469493,0.021154262,0.039395325
